;y;Ra;Rq;Rz;Rmax;Rsm;Rsk;Rku;WDt;WDsm;WDc
0;4680,000;12,029;19,222;213,935;213,935;1474,767;0,971;10,940;342,807;3192,839;342,807
0;4725,000;12,395;19,537;247,321;247,321;1765,455;1,007;12,491;344,986;3183,542;344,986
0;4770,000;11,942;18,960;231,837;231,837;2793,680;0,594;12,235;370,996;3173,368;370,996
0;4815,000;12,720;19,685;185,376;185,376;1555,289;1,511;10,377;355,224;3176,781;355,224
0;4860,000;11,949;17,798;144,665;144,665;1066,746;0,880;6,571;344,778;3176,270;344,778
0;4905,000;11,524;16,117;131,601;131,601;1077,612;0,820;5,236;379,766;4750,474;379,766
0;4950,000;10,677;15,939;154,958;154,958;1535,899;0,663;7,393;343,259;4740,195;343,259
0;4995,000;11,264;17,028;186,279;186,279;1882,244;0,752;9,730;359,883;4741,338;359,883
0;5040,000;12,076;17,152;172,464;172,464;1349,774;1,575;9,227;365,394;4758,777;365,394
0;5085,000;11,997;18,244;208,612;208,612;2251,189;1,874;14,168;359,850;3485,206;359,850
0;5130,000;12,288;19,047;219,999;219,999;1992,510;1,741;14,040;383,213;3505,204;383,213
0;5175,000;12,809;19,336;189,823;189,823;1604,843;0,439;8,017;414,411;3521,149;414,411
0;5220,000;12,156;18,757;207,084;207,084;2193,074;-0,648;12,193;438,715;5326,392;438,715
0;5265,000;12,019;18,292;184,639;184,639;2561,151;-0,525;10,702;437,266;5409,482;437,266
0;5310,000;12,078;18,301;187,115;187,115;1552,945;0,157;8,463;449,859;5477,984;449,859
0;5355,000;11,400;17,437;162,536;162,536;1221,207;0,328;8,148;399,390;5541,569;399,390
0;5400,000;11,672;17,949;202,851;202,851;1738,030;1,652;13,579;425,596;5567,968;425,596
0;5445,000;11,370;17,903;164,744;164,744;1560,034;2,153;12,841;447,265;5565,829;447,265
0;5490,000;11,485;17,770;150,928;150,928;1291,006;1,372;8,046;444,839;5538,634;444,839
0;5535,000;11,199;16,908;152,337;152,337;1216,072;0,975;7,503;360,011;5519,587;360,011
0;5580,000;10,601;16,701;155,077;155,077;1951,274;1,665;10,563;334,451;5276,881;334,451
0;5625,000;10,700;17,267;163,172;163,172;1984,065;2,394;13,217;360,571;5304,378;360,571
0;5670,000;12,759;20,257;260,777;260,777;2440,842;2,463;21,397;402,380;5313,476;402,380
0;5715,000;13,152;21,180;307,851;307,851;3358,925;2,228;23,312;383,154;5280,007;383,154
0;5760,000;10,945;17,934;200,543;200,543;1892,540;1,679;15,161;339,960;5235,568;339,960
0;5805,000;12,143;18,331;247,654;247,654;2197,582;3,270;29,847;335,088;5450,043;335,088
0;5850,000;12,474;17,634;171,511;171,511;997,514;1,552;9,870;324,102;5166,315;324,102
0;5895,000;12,891;19,131;241,321;241,321;1697,614;1,473;13,222;383,383;4087,986;383,383
0;5940,000;11,174;16,308;132,219;132,219;705,284;1,196;6,860;342,184;4055,224;342,184
0;5985,000;8,138;11,478;90,590;90,590;784,177;1,211;5,992;281,449;0,000;281,449
0;6030,000;8,348;12,339;132,484;132,484;1470,396;1,859;11,860;293,429;12901,676;293,429
0;6075,000;8,494;12,484;141,133;141,133;1482,355;2,166;14,443;333,606;0,000;333,606
0;6120,000;7,788;11,187;105,460;105,460;810,774;1,583;7,950;278,342;0,000;278,342
0;6165,000;7,405;10,737;88,519;88,519;626,999;1,907;9,672;305,827;0,000;305,827
0;6210,000;8,023;11,733;125,522;125,522;1975,283;2,904;18,783;267,681;0,000;267,681
0;6255,000;7,677;11,641;125,458;125,458;1819,401;3,385;23,565;283,891;0,000;283,891
0;6300,000;7,347;11,042;107,826;107,826;952,894;2,291;13,780;296,580;0,000;296,580
0;6345,000;7,701;11,359;101,459;101,459;801,641;1,886;10,724;271,972;0,000;271,972
0;6390,000;8,495;13,126;159,541;159,541;1159,927;2,312;16,845;274,062;0,000;274,062
0;6435,000;8,869;13,331;140,899;140,899;2056,537;2,866;17,657;278,071;0,000;278,071
0;6480,000;8,127;12,802;149,393;149,393;2335,496;3,392;23,203;273,685;0,000;273,685
0;6525,000;7,132;11,395;123,478;123,478;1180,035;3,832;29,812;273,531;0,000;273,531
0;6570,000;7,442;11,226;133,348;133,348;1608,233;1,567;12,506;282,065;0,000;282,065
