;y;Ra;Rq;Rz;Rmax;Rsm;Rsk;Rku;WDt;WDsm;WDc
0;6300,000;19,968;32,840;177,265;260,244;1148,250;0,873;11,258;695,135;0,000;695,135
0;6345,000;17,099;26,412;133,359;237,450;801,208;0,461;8,308;691,898;0,000;691,898
0;6390,000;18,241;30,487;149,880;299,597;1064,149;0,553;9,992;688,810;0,000;688,810
0;6435,000;17,748;29,812;143,303;263,220;992,129;0,415;9,741;682,197;0,000;682,197
0;6480,000;18,945;32,840;146,866;272,879;1229,602;0,535;8,893;681,622;0,000;681,622
0;6525,000;18,963;32,358;157,793;306,076;1087,349;0,647;10,948;707,825;0,000;707,825
0;6570,000;17,935;30,752;155,250;299,226;1074,295;0,349;11,757;732,127;0,000;732,127
0;6615,000;16,058;27,948;150,038;334,061;1094,810;0,184;13,322;723,979;0,000;723,979
0;6660,000;16,039;28,514;138,581;336,232;1003,507;-0,271;15,588;721,201;0,000;721,201
0;6705,000;16,627;29,703;157,457;387,643;1019,997;-0,550;17,528;720,432;0,000;720,432
0;6750,000;16,446;28,425;148,095;357,463;942,102;-1,405;20,022;722,708;0,000;722,708
0;6795,000;18,650;32,713;188,328;296,764;1376,004;0,685;12,677;671,696;0,000;671,696
0;6840,000;19,027;33,678;193,609;351,698;1395,263;0,364;13,234;602,406;0,000;602,406
0;6885,000;16,562;28,186;164,563;272,860;1104,835;0,804;13,960;562,593;0,000;562,593
0;6930,000;15,427;25,289;153,670;245,252;1024,385;1,873;13,604;530,567;0,000;530,567
0;6975,000;15,958;24,202;136,067;228,990;844,657;0,747;8,351;602,704;0,000;602,704
0;7020,000;17,689;27,526;143,623;202,754;847,763;0,333;7,297;642,019;0,000;642,019
0;7065,000;19,132;33,019;183,167;331,540;885,597;-0,714;12,594;708,110;0,000;708,110
0;7110,000;17,165;29,402;177,558;319,263;1189,102;-0,289;12,634;719,707;0,000;719,707
0;7155,000;17,519;29,967;177,522;337,941;1281,505;1,931;17,381;578,186;0,000;578,186
0;7200,000;17,808;26,430;156,539;202,739;808,541;0,366;6,265;581,076;0,000;581,076
0;7245,000;17,766;26,710;157,436;232,972;1087,762;-0,292;7,831;619,357;0,000;619,357
0;7290,000;19,214;31,386;175,634;374,071;1011,760;0,287;13,951;677,920;0,000;677,920
0;7335,000;19,513;36,894;228,164;534,006;2199,055;0,871;20,960;721,504;0,000;721,504
0;7380,000;20,472;34,892;209,628;365,559;1437,692;1,095;14,383;631,403;0,000;631,403
0;7425,000;18,358;30,962;183,200;354,467;1699,015;1,807;17,421;609,386;14041,093;609,386
0;7470,000;17,502;28,697;157,426;328,116;1003,260;2,083;18,309;649,234;0,000;649,234
0;7515,000;16,042;25,110;134,959;231,926;947,316;0,797;11,867;645,907;0,000;645,907
0;7560,000;14,242;21,921;100,758;190,721;847,895;-0,339;7,615;654,443;0,000;654,443
0;7605,000;13,632;20,615;91,323;162,288;942,238;0,005;6,261;692,657;0,000;692,657
0;7650,000;13,785;20,375;97,489;144,378;775,335;0,427;5,948;744,058;0,000;744,058
0;7695,000;15,083;22,619;110,517;222,404;863,737;0,295;7,651;793,313;0,000;793,313
